			LA	 				
Graceland Cemetery	Graceland Avenue	Abbeville	LA	 70510	337-893-7142			
Graceland Gardens	458 Methodist Camp Road	Minden	LA	 71055	318-377-1923			
Gragg Cemetery	7013 Gragg Road	Bell City	LA	 70630	337-598-2138			
Graham Cemetery	14390 Springfield Road	Walker	LA	 70785	225-664-4463			
Grambling Memorial Garden	Hwy. 80  East	Grambling	LA	 71245	318-247-6912			
Grand Cane Cemetery	Highway 171	Grand Cane	LA	 71032	318-858-3358			
Grangeville Cemetery	Highway 63	Grangeville	LA	 Not Known	225-222-4451			
Gray Family Cemetery	7514 Hwy. 371	Sibley	LA	 71073	318-371-0029			
Greater Apostolic Church Cemetery	7564 Highway 34	Chatham	LA	 71226	318-366-8591			
Greater Bethany Cemetery	Valverda Road	Maringouin	LA	 70757	225-933-8110			
Greater New Hope Baptist Church Cemetery	104 Tenth Street	Baldwin	LA	 70514	337-923-7114			
Greater One Memorial Gardens	125 Cook Road	Delhi	LA	 71232	318-878-9003			
Greater Philadelphia Cemetery	24624 Cook Road	Slaughter	LA	 70777	225-658-7452			
Greater St. James Memorial Gardens	Highway 749	Opelousas	LA	 70570	337-942-9536			
Greater St. John the Baptist Cemetery	2823 - A Privateer Blvd.	Barataria	LA	 70036	504-689-3533			
Greater St. Mary Baptist Church Cemetery	Pollard & Gibson Sts.	Jonesville	LA	 71343	318-339-7212			
Greater Zion Travelers Baptist Church Cemetery	425 Budd Street	Sunset	LA	 70584	337-662-3816			
Green Oak Cemetery	McNabb Road	Kinder	LA	 70648	337-738-2865			
Greenfield Baptist Church Cemetery #1	#1 Pecan St @ Western Avenue	Hammond	LA	 70401	985-345-3526			
Greenfield Baptist Church Cemetery #2	Old Baton Rouge Highway	Hammond	LA	 70401	985-345-3526			
Greenlawn Cemetery	West Ave  Corner of Pecan St	Hammond	LA	 70401	985-277-5616			
Greenlawn Memorial Gardens	North University	Lafayette	LA	 70507	337-232-0879			
Greenoaks Memorial Park	9425 Florida Blvd.	Baton Rouge	LA	 70815	225-925-5331			
Greensburg Cemetery	La. Highway 1042  West	Greensburg	LA	 70441	225-222-4176			
Greenwood Cemetery	130 Stoner Avenue	Shreveport	LA	 71101	318-673-7779			
Greenwood Cemetery	Roberts Avenue	Jennings	LA	 70546	337-821-5500			
Greenwood Cemetery 	Cleveland and Guzman	Slidell	LA	 70458	985-646-4330			
Greenwood Cemetery	City Park Ave & Canal Blvd	New Orleans	LA	 70124	504-482-8983			
Greenwood Memorial Park	2202 Military Hwy.	Pineville	LA	 71360	318-640-1400			
Griffin Hill Cemetery	Parish Road	Lone Pine	LA	 71367	337-346-6486			
Grobe Cemetery	10034 Peach Orchard Road	Bastrop	LA	 71220	318-282-2787			
Grube Family Cemetery	706 Highway 859	Delhi	LA	 71232	318-878-2076			
Gueydan Cemetery	Hwy. 91 South	Gueydan	LA	 70542	337-536-9523			
Guidry Family Cemetery	3250 Highway 383	Kinder	LA	 70648	337-738-5435			
Guillory Cemetery	255 Acorn Hill Road	Eunice	LA	 70535	337-580-1584			
Gum Springs Independent Baptist Church Cemetery	9387 Plainview Road	Hornbeck	LA	 71439	318-586-7840			
Gunnells Cemetery	21330 Hwy 417	Lettsworth	LA	 70753	337-941-2722			
Gunter's Cemetery	7152 Viney Woods Road	Mer-Rouge	LA	 71261	318-647-3002			
H V Adams Cemetery	Corner Kammell & George Sts.	Bastrop	LA	 71220	318-283-3337			
H. J. Cormier Family Cemetery	Reed Cemetery Road	Vinton	LA	 70668	337-589-3401			
H. J. Kennedy Family Cemetery	Keaton Road	Angie	LA	 70426	985-986-2297			
H.L. Knight Cemetery	54560 L. Knight Road	Franklinton	LA	 70438	985-848-5985			
Hackberry Cemetery	420 West Main Street	Hackberry	LA	 70645	337-540-3344			
Hagar Cemetery	608 Hagar Cemetery Road	Ragley	LA	 70657	337-725-3132			
Half-Way Cemetery	3840 West Main Street	Gray	LA	 70359	985-873-6567			
Hall Grove Cemetery	Hwy. 907	Eva	LA	 71354	318-336-5547			
Ham Bonz Family Burial Ground	454 Irvin Road	Bienville	LA	 71008	985-677-2801			
Hamilton Cemetery	450 Hwy. 907	Monterey	LA	 71354	318-386-4333			
Hamilton Cemetery	Hamilton Cemetery Road	Aimwell	LA	 71401	318-992-4910			
Hammond State School Cemetery	Hutchinson Cemetery Road	Albany	LA	 70711	225-567-3111			
Happy Ridge Cemetery	Highway 27	Cameron	LA	 70631	337-542-4759			
Hardey Family Cemetery	Hardey Street	Westlake	LA	 70669	337-882-0415			
Hargis Baptist Church Cemetery	Hwy. 122	Montgomery	LA	 71454-9707	318-646-2273			
Harley's Rest Haven	3640 Hwy. 448	Greensburg	LA	 70441	225-222-6991			
Harmony Cemetery	Carpenter's Bridge Road	Kinder	LA	 70648	337-639-2197			
Harper Family Cemetery	795 Wafer Road	Saline	LA	 71070	318-576-9984			
Harrington Cemetery	La. Hwy. 82	Abbeville	LA	 70510	337-643-7276			
Harris Cemetery	Goodwill Street	Goldonna	LA	 71031	318-727-8860			
Harris Cemetery	Goodwill Street	Goldonna	LA	 71031	318-727-8860			
Harris Cemetery	12082 Cornbread Road	Bastrop	LA	 71220	318-281-9432			
Harrison Chapel Cemetery	Dr. Martin Luther King	Springhill	LA	 71075	318-539-5372			
Harrison Jackson Square Cemetery	Hwy. 190 East & Square Road	Slidell	LA	 70461	985-639-3924			
Harrison Jackson Square Cemetery No. 2	Hwy. 190 East & Square Road	Slidell	LA	 70461	985-639-3924			
Harrisonburg Cemetery	202 Sicily Street	Harrisonburg	LA	 71340	318-744-5471			
Hart Assembly of God Cemetery	2696 Hwy. 126	Sikes	LA	 71473-2428	318-628-5338			
Hart Cemetery	46288 Jenkins Road	Franklinton	LA	 70438	985-839-2132			
Hartman's Cemetery	32299 N. Clyde Smith Road	Mt. Herman	LA	 70450-6831	504-2323867			
Hartzel United Methodist Church Cemetery	Not Known	Rosedale	LA	 70772	225-383-5216			
Harvey Cemetery	386 Sunken Island Road	Colfax	LA	 71417	318-407-0272			
Hathorn Cemetery	Coushatta Highway/1399 Hwy. 155	Ashland	LA	 71002	318-631-3868			
Hatten Cemetery	5178 hwy 126E	Grayson	LA	 71435	318-366-5218			
Hatten Family Cemetery	828 Hwy. 130	Winnsboro	LA	 71295	318-435-4153			
Haven's Rest	1030 Robert Smart Road	Anacoco	LA	 71403	337-208-6837			
Hawkins Graveyard	346 Wells Road	Bellevue	LA	 71037	318-469-1435			
Hayden Family Cemetery	29596 Lard Road	Holden	LA	 70744	225-209-8109			
Hayes Cemetery	7884 Mississippi St.	Hayes	LA	 70646	337-622-3301			
Hazel Memorial Cemetery	599 Lambright Road	Glenmora	LA	 71433	337-459-0907			
Heard Cemetery	3973 Hwy. 126	Manifest	LA	 71343	318-744-9333			
Heaven Bound Tomb Stone Cemetery	28270 White Oak Lane	Springfield	LA	 70462	985-415-7474			
Heaven's Garden Cemetery	3563 LA Hwy 419 West	Batchelor	LA	 70715	225-718-1970			
Heaven's Garden Cemetery	3563 LA Hwy 419 West	Batchelor	LA	 70715	225-718-1970			
Heaven's Gate	8140 Hunstock Avenue	Denham Springs	LA	 70706-1040	225-665-8883			
Heavenly Gates Cemetery	10633 Veterans Memorial Blvd.	Baton Rouge	LA	 70807	225-778-1612			
Heavenly Rest Cemetery	La. Hwy. 85-Huberville Road	Jeanerette	LA	 70544	337-276-5180			
Heavenly Rest Memorial Park	South Gould Boulevard	Lake Providence	LA	 71254	318-559-6571			
Heavens Midway Cemetery	66009 Walker Road	Kentwood	LA	 70444	985-514-0026			
Heavens' Door	31599 Hwy. 441	Holden	LA	 70744	225-567-1665			
Hebert Cemetery	La. Highway 1	Golden Meadow	LA	 70357	985-632-2896			
Hebert Cemetery	Cemetery Road	Iowa	LA	 70647	337-582-3390			
Hebert Cemetery	Chestnut Road	Kaplan	LA	 70548	337-643-7437			
Hebert Cemetery Mausoleum	La. Highway 1	Galliano	LA	 70354	985-632-8125			
Hebrew Rest Cemetery	1573 Texas Ave.	Shreveport	LA	 71103	318-861-2122			
Hebrew Rest Cemetery	4100 Frenchman St.	New Orleans	LA	 70122	504-861-3693			
Hedrick Cemetery	1529 Hwy. 908	Monterey	LA	 71354	318-386-4333			
Heirtzler Family Cemetery	3104 Hwy. 956	Ethel	LA	 70730	225-683-9460			
Helen's Haven	28590 Kemp Road	Springfield	LA	 70462	985-507-3816			
Henderson Bible Church Cemetery	1045 Talley Street	Henderson	LA	 70517	337-228-2083			
Henderson Community Cemetery	Henderson Road	Henderson	LA	 70517	318-552-7751			
Henderson Family Cemetery	28403 Pea Gravel Road	Franklinton	LA	 70438	985-839-9517			
Henderson Family Cemetery	1648 Duckworth Road	Pioneer	LA	 71266	318-926-5743			
Hennen Cemetery	Zemurray Lodge	Loranger	LA	 70446	985-345-4256			
Henry Chriceol Memorial	140 Temple Road	Rayville	LA	 71269	318-614-4614			
Henry's Cemetery	19625 Hwy. 15	Pointe Ala Hache	LA	 70082	985-279-5182			
Heritage Rowe Memorial Park	1352 Belview Road	Leesville	LA	 71446	337-392-0083			
Herman L. Hutchison Cemetery	Herman Hutchinson Road	Holden	LA	 70744	225-567-5417			
Hernandez Family Cemetery	4255 River Road	Clinton	LA	 70722	225-719-2157			
Hickman Family Cemetery	20145 Hickman Road	Franklinton	LA	 70438	985-839-5722			
Hickory Branch Family Cemetery	28700 L.J. Methvien Road	Holden	LA	 70744	225-294-5244			
Hickory Grove Cemetery	Parish Road 132	Coushatta	LA	 71019	318-932-5512			
Hickory Memorial Gardens	67525 Hwy. 41	Pearl River	LA	 70452	985-863-5733			
Hickory Ridge Cemetery	Highway 445	Ponchatoula	LA	 70454	504-386-9451			
Hidden Hill Cemetery	285 Adgerlake Road	Benton	LA	 71006	318-965-4982			
Highland Cemetery	1514 Old Jefferson Highway	Mansfield	LA	 71052	318-872-1747			
Highland Memory Gardens	Country Club Road	Lake Charles	LA	 70605	337-477-7094			
Highland Park Cemetery	Hwy. 8	Sicily Island	LA	 71368	318-389-6894			
Hill Cemetery	29191 Bill McLin Road	Livingston	LA	 70754	225-328-7550			
Hill Crest Cemetery	3132 Oak Street	Norwood	LA	 70761	225-629-5561			
Hill Crest Memorial Park	Hwy. 80  East	Haughton	LA	 71037	318-949-9415			
Hill Top Cemetery	2850 Hwy. 394	DeRidder	LA	 70634	337-462-2234			
Hillcrest Memorial Gardens & Mausoleum	6305 Groom Rd.	Baker	LA	 70714-0707	225-774-9801			
Hillery Mulkey Cemetery	22280 Chemekette Road	Robert	LA	 70455	985-320-2278			
Hillman Cemetery	8049 Hwy. 10	Pitkin	LA	 70656	318-358-5266			
Hillview Cemetery	5106 Plum Grove Road	Pioneer	LA	 71266	318-372-0145			
Hillview Memorial Gardens	Spring Valley Road	Bogalusa	LA	 70427	985-732-7155			
Historic Ball Family Cemetery	Ball Family Cemetery Road	Wilda/Boyce	LA	 71409	318-277-3702			
Hodges Cemetery	68098 Anderson Road	Roseland	LA	 70456	985-229-3234			
Hoffstadt Cemetery	251 Hoffstadt Road	Kentwood	LA	 70444	985-514-3591			
Holley Family Cemetery	Wardville Road	Bastrop	LA	 71220	318-281-1000			
Holley Springs Cemetery	Holley Springs Cemetery Road	Coushatta	LA	 71019	318-932-4625			
Holly Gardens Cemetery	South Holly	Hammond	LA	 70403	985-277-5616			
Holly Grove Cemetery	5073 Hwy. 562	Wisner	LA	 71378	318-724-6238			
Holly Grove Cemetery	Hwy. 562	Wisner	LA	 71378	318-614-7976			
Holly Ridge Church Cemetery	857 Holly Ridge Road	Haynesville	LA	 71038	318-624-1885			
Holmesville Methodist Church Cemetery	Hwy. 1176	Eola	LA	 71322	318-346-9836			
Holt Cemetery	527 City Park Avenue	New Orleans	LA	 70118	504-658-3781			
Holy Angels Cemetery	Corner of Avondale Garden Rd & River Rd	Waggaman	LA	 70094	504-436-4459			
Holy City Cemetery	Welcome Road	Lake Charles	LA	 70611	337-855-2871			
Holy Family Cemetery	Curtis Lane	New Iberia	LA	 70562	337-364-1663			
Holy Family Cemetery	283 Thibodaux Street	Lawtell	LA	 70550	337-543-2366			
Holy Family Cemetery #1	6641 Grand Caillou Road	Grand Caillou	LA	 70353	985-563-2325			
Holy Family Cemetery #2	Highway 57	Dulac	LA	 70353	985-563-2325			
Holy Ghost Cemetery	121 South Preston Street	Marksville	LA	 71351	318-253-7131			
Holy Mary Mother of God Cemetery & Maus.	3121 Johnston St.	Lafayette	LA	 70503	337-235-3062			
Holy Rosary Cemetery	River Road	Taft	LA	 70057	985-783-1199			
Holy Rosary Cemetery	8594 E. Main St.	Houma	LA	 70363	985-876-7652			
Holy Rosary Roman Catholic Cemetery & Mausoleum	44450 Hwy. 429	St. Amant	LA	 70774	225-644-5321			
Holy Savior Cemetery	612 Main St.	Lockport	LA	 70374	985-532-3533			
Holy Sepulcher Mausoleum	914 North Union Street	Opelousas	LA	 70570	337-942-7055			
Hook & Ladder Cemetery	1000 Block of Lafayette Street	Gretna	LA	 70053	504-361-3975			
Hoover -Starkey Cemetery	Labruzza Lane	Independence	LA	 70443	985-878-9730			
Hoover Cemetery	Southeast Service Road	Ponchatoula	LA	 70454	985-386-3700			
Hope Cemetery	77223 J. W. Schilling Road	Kentwood	LA	 70444	985-646-2444			
Hope Haven Garden of Memory of Gonzales	Highway 30	Gonzales	LA	 70737	225-644-8466			
Hope Haven Garden of Memory of Prairieville	Cemetery Road	Prairieville	LA	 70769	225-644-8466			
Hope Well Cemetery	Bend Road	Sicily Island	LA	 71368	318-389-5584			
Hopewell Baptist Cemetery	794 West Bryant Road	Centerpoint	LA	 71323	318-253-8112			
Hortman Cemetery	17731 Hwy. 371	Minden	LA	 71055	318-465-1148			
Hosston Cemetery	6315 Wisteria Street	Hosston	LA	 71043	318-584-5918			
House of Love Cemetery	West Church Street	St. Martinville	LA	 70562	337-394-7724			
House of Prayer Cemetery	Indian Road	Slidell	LA	 70458	601-687-1207			
Howard Memorial Cemetery	25070 Howard Varnado Road	Holden	LA	 70744	225-567-3973			
Howes Cemetery	Howes Cemetery Road	Ponchatoula	LA	 70454	985-370-8210			
Howze Family Burial Ground	315 Hwy. 1036	Holden	LA	 70744	225-777-4440			
Hracek Family Cemetery	27584 Hwy. 405	Plaquemine	LA	 70764	225-687-9428			
Hudson Family Cemetery	1203 Beehive Loop	Singer	LA	 70660	337-351-6875			
Huel Jones Cemetery	238 Don Lane	Mansfield	LA	 71052	318-872-6855			
Humphries Family Cemetery	Humphries Road	Newellton	LA	 71357	318-467-5542			
Hunt Cemetery	52616 Thigpen Road	Franklinton	LA	 70438	985-515-6008			
Hurricane Creek Cemetery	Hwy. 8	Trout	LA	 71371	318-992-6296			
Hutchinson Cemetery	Hutchinson Road	Holden	LA	 70744	225-567-4484			
Hutchinson Grave Yard	Antioch Road	Tickfaw	LA	 70466	225-667-3119			
Hutson Cemetery	628 Hutson Road	West Monroe	LA	 71292	318-325-0089			
Hyde Family Cemetery	10214 Hwy. 122	Dry Prong	LA	 71423	318-899-3868			
Ibert's Memorial Park	1111 Lia St.	Patterson	LA	 70392	337-828-5426			
Iberville Christian Center Memorial Gardens	2160 Besson Lane	Sunshine	LA	 70780	225-642-7772			
Immaculate Conception Catholic  Ch Cemetery & Maus	Main Street	Dupont	LA	 71329	318-922-3243			
Immaculate Conception Cemetery	22102 Church Road	Abbeville	LA	 70510	337-643-7714			
Immaculate Conception Cemetery	1331 Hwy. 401	Napoleonville	LA	 70390	985-369-6656			
Immaculate Conception Cemetery	Highway 82	Grand Chenier	LA	 70643	337-538-2245			
Immaculate Conception Roman Catholic Ch. Cemetery	103 LeBeau Church Road	LeBeau	LA	 71345	337-623-4783			
Immaculate Heart of Mary Catholic Cemetery	900 Blk. of Surrey St.	Lafayette	LA	 70501	337-235-4618			
Immaculate Heart of Mary Cemetery	Church Street	Maringouin	LA	 70757	225-625-2438			
Indian Bayou Methodist Church Cemetery	Pearlie Road	Indian Bayou	LA	 70578	337-334-4362			
Indian Village Cemetery	4396 Hwy. 383	Kinder	LA	 70648	337-738-5000			
Inspiration Park Memorial Garden	La Hwy 38	Kentwood	LA	 70444	985-229-8595			
Iota Cemetery	Apple Road	Iota	LA	 70543	337-779-2597			
Irie Johnson Cemetery	19585 John Stafford Road	Walker	LA	 70785	225-686-2133			
Isaac Taylor Cemetery	10197 Bank Street Ext.	Clinton	LA	 70722	225-683-8057			
Isgitt Cemetery	250 Cannon Drive	Many	LA	 71449	318-256-0431			
Islamic Cemetery of Greater New Orleans	Carroll Road	Slidell	LA	 70460	504-887-5365			
Islamic Cemetery of North Louisiana	140 Dixon Road	Minden	LA	 71055	318-675-0405			
Israelite Cemetery	14707 Hwy. 8	Colfax	LA	 71417	318-793-9695			
Istre Cemetery	Swift Road	Morse	LA	 70559	337-794-5628			
IWBFM Cemetery	11308 Moise Road	Gonzales	LA	 70737	225-644-2834			
J. C. Thompson Sr. Family Cemetery	Thompson Road	Jonesville	LA	 71343	318-339-8723			
J. L. Sykes Cemetery	James Chapel Road	Holden	LA	 70744	225-567-2362			
J. M. Fussell Cemetery	80000 Fitzgerald Church Road	Covington	LA	 70435	985-892-3181			
J. S. Clark Memorial Park Cemetery	Burg Jones Lane	Monroe	LA	 71201	318-327-1340			
J. W. Hudspeth Cemetery	143 Snooks Road	Jena	LA	 71342-9628	318-992-2051			
Jackson Family Cemetery	Hwy 4	Chatham	LA	 71226	318-249-2052			
James Cemetery	26483 Osceola Road	Loranger	LA	 70446	985-796-5235			
James M. Thompson Family Cemetery	12019 Flamingo Lane	Hammond	LA	 70401	985-567-2712			
James R. Tullos Family Cemetery	2985 Grays Creek Road	Dry Prong	LA	 71423	318-899-5881			
Jefferson Memorial Gardens	11316 River Rd	St. Rose	LA	 70087	504-393-1741			
Jena Cemetery	Highway 84	Jena	LA	 71342	318-992-6925			
Jenkins Cemetery	21299 C. Harris Road	Denham Springs	LA	 70726	225-278-0581			
Jenkins Cemetery	19065 Hwy. 450	Franklinton	LA	 70438	985-839-4265			
Jenkins Family Cemetery	25380 M Jenkins Road	Angie	LA	 70426	985-735-0528			
Jerusalem Baptist Church Cemetery	11109 Jerusalem Church Road	Hammond	LA	 70403	225-294-2001			
Jerusalem Baptist Church Cemetery	Riverfront Road	Armistead	LA	 Not Known	318-932-3264			
Jerusalem Cemetery	Jerusalem Cemetery Road	Many	LA	 71449	318-256-5560			
Jessie Johnson Cemetery	519 Jessie Johnson Road	Kinder	LA	 70648	337-212-3659			
Jesuit Cemetery	313 East Martin Luther King	Grand Coteau	LA	 70541	337-662-5251			
Jesus Christ Worship Center Cemetery	8912 Highway 10	Pitkin	LA	 70656	318-358-3461			
Jesus Name Holiness Church Cemetery	I-55 Southeast Service Road	Ponchatoula	LA	 70454	985-386-3794			
Jewella Cemetery	Greenwood Road	Shreveport	LA	 71103	318-673-7779			
Jewish Cemetery	Main Street	Pineville	LA	 71360	318-445-3655			
Jewish Cemetery	1400 Block of North Street	Baton Rouge	LA	 70806	225-343-0111			
Jewish Cemetery	East Bellevue Street	Opelousas	LA	 70570	512-484-1124			
Jigger Memorial Cemetery	150 Hwy 874	Winnsboro	LA	 71295	318-723-5508			
Jimmy Hopkins Cemetery	Jimmy Hopkins Lane	Walker	LA	 70785	225-664-9405			
Joan Reeves Lossin	Elmly	Jonesville	LA	 71343	318-481-4308			
Joe Casanova Family Cemetery	210 Wesley Road	Independence	LA	 70443	915-447-4070			
Johanningmeier Cemetery	23117 Peterson Road	Mount Hermon	LA	 70450	985-614-0080			
John Sharkey Cemetery	Dykes Lane	Amite	LA	 70422	985-748-7115			
John Yates Family Cemetery	15078 N. Yates Road	Franklinton	LA	 70438	985-839-3980			
Johnson Cemetery	Faller Road	Hammond	LA	 70401	985-687-8970			
Johnson Family Cemetery	31 Ed Johnson Road	Glenmora	LA	 71433	318-625-8193			
Johnson Hanks Cemetery	214 Cemetery Road	Morse	LA	 70559	337-783-1347			
Johnson's Cemetery	13828 Hwy. 10	Pitkin	LA	 70656	337-328-7441			
Johnson-Ourson Family Cemetery	5607 Hwy. 124	Enterprise	LA	 71425	318-744-5744			
Johnson/Wehunt Cemetery	151 Malone Road 	Colfax	LA	 71417	318-627-3882			
Joiner Grave Yard	51187 Hwy. 445	Loranger	LA	 70446	985-542-4474			
Jones Cemetery	1040 Mulberry Road	Opelousas	LA	 70570	337-826-3284			
Jones Community Cemetery	Hopkins Hill Road	Jones	LA	 71220	318-281-4010			
Jones Family Cemetery	Jones Road	West Monroe	LA	 71292	318-323-1320			
Jones Family Cemetery	1001 Doty Road	Ferriday	LA	 71334	318-228-9062			
Jonesboro Cemetery	Third Street	Jonesboro	LA	 71251	318-259-2385			
Jordan Family Cemetery	5057 Hwy 577	Pioneer	LA	 71266	318-282-4935			
Joseph & Sadie Coleman Cemetery	845 Willow Springs Road	Sulphur	LA	 70663	337-527-6187			
Joseph Dartez Family Cemetery	Texas Eastern Road	Ragley	LA	 70657	337-583-7727			
Judge Smiley Cemetery	Judge Smiley Road	Frost	LA	 70754	225-975-8872			
Juneau Family Cemetery	La. Highway 361	Evergreen	LA	 71333	337-948-6915			
Jung - Smith Family Cemetery	8667 Hwy. 71 South	Lecompte	LA	 71346	310-770-4613			
Kamp Grand Cemetery	24404 Jim Edwards Road	Mt. Hermon	LA	 70450	985-839-3773			
Karl Sismore Family Cemetery	666 Homer Sisemore Road	Ruston	LA	 71270	318-255-3379			
Keatchie Cemetery	Keatchie/Keithville Road	Keatchie	LA	 71046	318-465-8514			
Keene Cemetery	Zeagler Cut-Off Road	Olla	LA	 71465	318-992-4196			
Kelley Family Cemetery	42116 Dunson Road	Ponchatoula	LA	 70454	985-320-6948			
Kenneth Lee Breaux, Jr.'s Burial Site	107 Osage Street	Port Barre	LA	 70577	337-331-3426			
Kent Family Cemetery	13308 Booker Cemetery Road	Clinton	LA	 70722	225-683-6186			
Kents Family Cemetery	650 Kent Road	Greensburg	LA	 70441	225-244-1451			
Kentwood Woodland Cemetery	200 Frontage Road	Kentwood	LA	 70444	985-229-3451			
Killian First Baptist Church Cemetery	27994 Hwy 22	Killian	LA	 70462	225-695-6581			
Killona Rest Haven	500 La. Hwy 3141	Killona	LA	 70057	985-783-2658			
Kilpatrick's Memorial Gardens	1247 La. 544	Ruston	LA	 71270	318-355-2505			
Kilpatrick's Serenity Gardens	8729 Cypress Street	West Monroe	LA	 71291	318-397-3766			
Kimble Chapel Episcopal Methodist Cemetery	120 Brussels Road	Ridge	LA	 70578	337-873-6323			
Kinchen Cemetery	Dubois Road	Albany	LA	 70711	985-878-0342			
Kinder-McRill Memorial Cemetery	1610 Kinder Cemetery Road	Kinder	LA	 70648	337-515-7250			
King Cemetery	Carrier Road	Pine Grove	LA	 70453	985-777-4065			
King Family Cemetery	38514 LA Hwy 16	Denham Springs	LA	 70706	225-505-8336			
King Family Cemetery	1187 Peachland Lane	Jonesville	LA	 71343	318-339-6715			
King Solomon Baptist Church Cemetery	Hwy. 65  South	Lake Providence	LA	 71254	318-559-9038			
Kirk McLaughlin Cemetery	10347 Old Baton Rouge Hwy.	Hammond	LA	 70403	314-514-9529			
Knapp Family Cemetery	1179 Hwy. 1206	Deville	LA	 71328	318-481-2997			
Knippers Hill Family Cemetery	220 Knippers Loop	Hornbeck	LA	 71439				
Kojis Family Cemetery	1461 Hwy 29E	Bunkie	LA	 71322	318-346-4408			
Kyzar Cemetery	18372 Robert Road	Hammond	LA	 70401	985-269-0940			
L. C. Cook Family Cemetery	1440 9th Street	Kentwood	LA	 70444	985-229-4036			
Lacassine Catholic Cemetery	306 Ann Street	Lacassine	LA	 70650	337-588-4606			
Lafayette Cemetery #1	1427 Sixth Street	New Orleans	LA	 70130	504-658-3781			
Lafayette Cemetery #2	2010 Washington Avenue	New Orleans	LA	 70130	504-658-3781			
Lafayette Memorial Park	2111 Pinhook Rd.	Lafayette	LA	 70508	337-235-3062			
Lafleur Cemetery	221 Andrew Road	Opelousas	LA	 70570	337-658-1243			
LaFontaine Cemetery	Hwy. 190 @ Hwy 434	Lacombe	LA	 70445	985-882-5352			
LAIC Cemetery	2021 N Flannery Road	Baton Rouge	LA	 70815	225-927-7163			
Laing-Davis-Scott Cemetery	69 Dannehl Road	Rayville	LA	 71269	318-348-7293			
Lake Lawn Park Cemetery & Mausoleum	5454 Pontchartrain Blvd.	New Orleans	LA	 70124	504-486-6331			
Lake Zion Cemetery	6025 Belcher-Oil City Road	Belcher	LA	 71004	318-378-4380			
Lakeland Cemetery	12364 Hwy 416	Lakeland	LA	 70752	225-627-5124			
Lakeview Memorial Cemetery	8th Street & Arthur Avenue	Lake Arthur	LA	 70549	337-329-3354			
Lakeview Memorial Gardens	220 Hamill St.	Oil City	LA	 71061	318-995-6614			
Lamar Cemetery	184 Higdon Lane	Lamar	LA	 71232-7100	318-878-2120			
Lamartiniere Cemetery	145 Cajun Lane	Marksville	LA	 71351	318-563-8094			
Lambert Hill Cemetery	395 Hwy. 1222	Natchitoches	LA	 71457	318-472-8182			
Lambertown Cemetery	1244 Freeman Loop	Robeline	LA	 71469	318-352-4651			
Landry Cemetery	Landry Road	Sulphur	LA	 70665	337-583-7357			
Lane Cemetery	 Sec. 67, T3S, R1E(End of Lane LN)	Ethel	LA	 70730	504-669-7714			
Lane Memorial Cemetery	Highway 371	Sibley	LA	 71073	318-377-2875			
Langley Cemetery	Alfa Romeo Drive	Basile	LA	 70515	337-432-5106			
LaPrarie Cemetery	53 Monroe Wilson Road	Deville	LA	 71328-9179	318-466-3243			
Laran Cemetery	Highway 550	Laran	LA	 71277	318-778-4235			
Larry Dill Memorial Family Cemetery	265 N. Blacktop Ext.	Oakdale	LA	 71463	318-335-1323			
Lasseigne Family Burial Ground	971 Hwy. 308	Thibodaux	LA	 70301	985-448-1432			
Lawrence 'BEB' Young Cemetery	1318 St. Claire Drive	Church Point	LA	 70525	337-684-2677			
Lawrence Memorial Gardens	17407 Cooper Road	Loranger	LA	 70446	985-878-9836			
Lawrence Serenity Sanctum	Welch St.	Natchitoches	LA	 71457	318-352-7888			
Lebanon Cemetery	White Oak Road	Haynesville	LA	 71038	318-927-9347			
LeBlanc Catholic Cemetery	LeBlanc Community	Erath	LA	 70533-4011	337-937-6888			
LeBlanc Cemetery	1779 Methodist Camp Road	LeBlanc	LA	 70651	337-738-2432			
LeBleu Cemetery	Cemetery Road	Fenton	LA	 70640	337-756-2224			
LeBleu Community Cemetery	LeBleu Cemetery Road	Lake Charles	LA	 70615	337-582-3396			
Lee Cemetery	Hwy. 1043	Easleyville	LA	 70441	225-301-1303			
Lee Cemetery	47141 Ray Dillon Road	Franklinton	LA	 70438	985-839-5131			
Lee Cemetery	Smiling Acres Road	Amite	LA	 70422	985-748-4262			
Lee Family Cemetery	300 Lee Road	Waterproof	LA	 71375	318-749-5269			
Lee Martin Cemetery	30587 Lee Martin Road	Livingston	LA	 70754	225-664-2211			
Lee Valley Baptist Church Cemetery	27013 Reid Road	Loranger	LA	 70446	985-747-2674			
Lee Wascom Cemetery	145 Alton & Lucille Lane	Greensburg	LA	 70441	225-505-9460			
Lee Williams Cemetery	2095 Bridge Road #1	Anacoco	LA	 71403	337-286-5806			
LeFranc Cemetery	24141 Carl Hoppe Road	Iowa	LA	 70647	337-570-8511			
Leger Cemetery	5027 Abbeville Hwy	Rayne	LA	 70578	337-334-5047			
Legion Memorial Cemetery	Highway 605	Newellton	LA	 71357	318-467-5322			
Lemings Family Cemetery	1553 Hwy. 61	Jackson	LA	 70748	225-936-7757			
Lemoine Family Cemetery	249 Lone Pine Lane	Evergreen	LA	 71333	318-346-6503			
Lepine Cemetery	52127 Hwy. 424	Franklinton	LA	 70438	985-677-4811			
Leroy Amato Family Cemetery	Field Road	Independence	LA	 70443	985-878-2370			
